x,y,z,q0,q1,q2,q3,q4,q5
3.0,5.0,5.0,15.496384240835797,0.0,0.0,0.0,0.0,0.0
3.0,6.0,0.0,5062.6917941979455,1336.396764392415,2918.952240214904,4607.320448813035,4550.198218716333,4385.94391541628
3.0,6.0,1.0,5126.421782888496,2107.143420085111,3364.9882886569,3973.95088332774,2005.955906235461,4176.771598574157
3.0,6.0,2.0,2050.206960783393,8.00725063214701,60.97311623936474,1991.1740265542742,165.9670124833863,4404.486618511699
3.0,6.0,3.0,1809.34207653104,0.4865066536965488,0.0,5.865493950174843,-1.4125022089002712,4.116423185094602
3.0,6.0,4.0,41.908657952373545,0.0,0.0,0.0,0.0,0.0
3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,7.0,0.0,4981.951543684185,231.76023043378052,147.4656683237259,1368.0761943946359,421.90298802425235,159.08183338678506
3.0,7.0,1.0,4973.315191346221,144.36905824157392,-4.198515014122417,1957.7310023011328,546.8333033718267,1250.728306657006
3.0,7.0,2.0,795.6340063242213,0.0,18.028476160736407,0.0,0.0,2490.1231310017083
3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,7.0,4.0,5.621155935266818,-3.930243065920469,0.0,0.0,0.0,0.0
3.0,7.0,5.0,4.47823672419102,0.0,0.0,0.0,0.0,4.38710233063808
3.0,8.0,0.0,48.48454430951689,0.0,0.0,1630.8927466183238,15.765368435960776,0.0
3.0,8.0,1.0,824.654184556844,0.0,0.0,626.6129515770542,0.0,0.0
3.0,8.0,2.0,5.571575135172223,0.0,0.0,345.66504099787016,-1.3204411891574286,0.0
3.0,8.0,3.0,6.000399162284381,0.0,0.0,0.0,0.0,0.0
3.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,8.0,5.0,0.0,0.0,0.0,4.79205905030503,0.0,0.0
3.0,9.0,0.0,48.33713710760686,0.0,0.0,0.0,0.0,0.0
3.0,9.0,1.0,0.0,0.0,0.0,61.70256981890639,0.0,0.0
3.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,921.1536117713657,-16.382369637264347,0.0,0.0,7.702056754825463,0.0
4.0,0.0,1.0,170.1679604769708,0.0,0.0,0.6612845885124107,0.0,0.0
4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.0,0.0,3429.045585893878,4.003483632350656,1665.6183232559388,61.932619728150165,66.75837138194284,253.04460466337355
4.0,1.0,1.0,1353.4768087541124,0.0,0.0,3.456971256660473,-1.3781951568582418,0.0
4.0,1.0,2.0,7.345678883261984,-5.457953671251592,49.82576354092074,0.0,-2.18934735371496,0.0
4.0,1.0,3.0,40.254283422471126,0.0,0.0,0.0,0.0,0.0
4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.0,0.0,5087.671612237275,780.1346388573027,3056.3441940715597,1414.3600530121337,2187.008606744661,1852.087384422379
4.0,2.0,1.0,5022.2954545636285,229.41724394432822,955.7983562902391,111.48675911007135,291.6260448134192,872.2257568356549
4.0,2.0,2.0,1268.2610776954593,-5.8895069888521725,2621.3770504548334,3.3286297736790966,24.188956621547078,698.3339452093126
4.0,2.0,3.0,993.31046125957,-5.0460885725269415,153.35739162379622,4.168037927174956,0.0,75.63399362829253
4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3.0,0.0,5072.756374776207,4418.859541368242,4932.63292944479,4823.626526714958,4922.701970476279,4902.765886418833
4.0,3.0,1.0,5106.576431849906,2378.5882926430413,3747.519078819933,3534.751244241326,2469.833629686591,3755.9075781926654
4.0,3.0,2.0,5012.792609563425,68.62240288860447,500.7732273558394,608.1674753396101,290.28473578376764,1368.759562574171
4.0,3.0,3.0,2196.6659096838443,11.541626339689067,0.0,117.94314180718845,1.5808814082610227,206.65916052568366
4.0,3.0,4.0,235.02398996440616,-4.573053558120555,0.0,0.0,0.0,0.0
4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
